label,source,target
badc-cadb,2ca,2cd
badc-cbad,2ca,2cd
badc-dbca,2ca,2da
badc-dcab,2ca,2da
badc-dcba,2ca,2da
bcad-abcd,1ca,1ba
bcad-abdc,1ca,1ba
bcad-abdc,1ca,1cd
bcad-adbc,1ca,1ba
bcad-adbc,1ca,1cd
bcad-adcb,1ca,1cd
bcad-badc,1ca,1cd
bcad-dabc,1ca,1ba
bcda-abcd,1ca,1ba
bcda-abdc,1ca,1ba
bcda-adbc,1ca,1ba
bcda-dabc,1ca,1ba
bdca-abcd,1ca,1ba
bdca-abdc,1ca,1ba
bdca-abdc,1ca,1da
bdca-adbc,1ca,1ba
bdca-adbc,1ca,1da
bdca-adcb,1ca,1da
bdca-badc,1ca,1da
bdca-dabc,1ca,1ba
cabd-abcd,1ca,1cb
cabd-abdc,1ca,1cb
cabd-abdc,1ca,1cd
cabd-adbc,1ca,1cb
cabd-adbc,1ca,1cd
cabd-adcb,1ca,1cd
cabd-badc,1ca,1cd
cabd-dabc,1ca,1cb
cadb-abcd,1ca,1cb
cadb-abdc,1ca,1cb
cadb-abdc,1ca,1cd
cadb-adbc,1ca,1cb
cadb-adbc,1ca,1cd
cadb-adcb,1ca,1cd
cadb-badc,1ca,1cd
cadb-dabc,1ca,1cb
cbad-abdc,1ca,1cd
cbad-adbc,1ca,1cd
cbad-adcb,1ca,1cd
cbad-badc,1ca,1cd
cdab-abcd,1ca,1cb
cdab-abdc,1ca,1cb
cdab-adbc,1ca,1cb
cdab-dabc,1ca,1cb
dabc-bcad,2ca,2ba
dabc-bcda,2ca,2ba
dabc-bdca,2ca,2ba
dabc-cabd,2ca,2cb
dabc-cadb,2ca,2cb
dabc-cdab,2ca,2cb
dabc-dbca,2ca,2ba
dabc-dcab,2ca,2cb
dbca-abcd,1ca,1ba
dbca-abdc,1ca,1ba
dbca-abdc,1ca,1da
dbca-adbc,1ca,1ba
dbca-adbc,1ca,1da
dbca-adcb,1ca,1da
